Problema, n, K, m, Iter, |LRC|, iterations with improvement, z, S, CPU
input/max_div_15_2.txt, 15, 2, 2, 10, 2, false, 11.8592, (8.650000  9.980000) (0.580000  1.290000) , 0.003099 seconds
input/max_div_15_2.txt, 15, 2, 2, 10, 2, true, 11.8592, (8.650000  9.980000) (0.580000  1.290000) , 0.002687 seconds
input/max_div_15_2.txt, 15, 2, 2, 10, 3, false, 11.8592, (8.650000  9.980000) (0.580000  1.290000) , 0.003994 seconds
input/max_div_15_2.txt, 15, 2, 2, 10, 3, true, 11.8592, (8.650000  9.980000) (0.580000  1.290000) , 0.003912 seconds
input/max_div_15_2.txt, 15, 2, 2, 20, 2, false, 11.8592, (8.650000  9.980000) (0.580000  1.290000) , 0.005714 seconds
input/max_div_15_2.txt, 15, 2, 2, 20, 2, true, 11.8592, (8.650000  9.980000) (0.580000  1.290000) , 0.006534 seconds
input/max_div_15_2.txt, 15, 2, 2, 20, 3, false, 11.8592, (8.650000  9.980000) (0.580000  1.290000) , 0.007436 seconds
input/max_div_15_2.txt, 15, 2, 2, 20, 3, true, 11.8592, (8.650000  9.980000) (0.580000  1.290000) , 0.005915 seconds
input/max_div_15_2.txt, 15, 2, 3, 10, 2, false, 27.3727, (8.650000  9.980000) (0.580000  1.290000) (9.110000  3.230000) , 0.006288 seconds
input/max_div_15_2.txt, 15, 2, 3, 10, 2, true, 27.3727, (8.650000  9.980000) (0.580000  1.290000) (9.110000  3.230000) , 0.007032 seconds
input/max_div_15_2.txt, 15, 2, 3, 10, 3, false, 27.3727, (8.650000  9.980000) (0.580000  1.290000) (9.110000  3.230000) , 0.005932 seconds
input/max_div_15_2.txt, 15, 2, 3, 10, 3, true, 27.3727, (8.650000  9.980000) (9.110000  3.230000) (0.580000  1.290000) , 0.007181 seconds
input/max_div_15_2.txt, 15, 2, 3, 20, 2, false, 27.3727, (8.650000  9.980000) (0.580000  1.290000) (9.110000  3.230000) , 0.011379 seconds
input/max_div_15_2.txt, 15, 2, 3, 20, 2, true, 27.3727, (8.650000  9.980000) (0.580000  1.290000) (9.110000  3.230000) , 0.012133 seconds
input/max_div_15_2.txt, 15, 2, 3, 20, 3, false, 27.3727, (8.650000  9.980000) (0.580000  1.290000) (9.110000  3.230000) , 0.012813 seconds
input/max_div_15_2.txt, 15, 2, 3, 20, 3, true, 27.3727, (8.650000  9.980000) (0.580000  1.290000) (9.110000  3.230000) , 0.012166 seconds
input/max_div_15_2.txt, 15, 2, 4, 10, 2, false, 49.8268, (9.110000  3.230000) (0.580000  1.290000) (8.650000  9.980000) (0.160000  4.620000) , 0.013604 seconds
input/max_div_15_2.txt, 15, 2, 4, 10, 2, true, 49.8268, (9.110000  3.230000) (0.580000  1.290000) (8.650000  9.980000) (0.160000  4.620000) , 0.016337 seconds
input/max_div_15_2.txt, 15, 2, 4, 10, 3, false, 49.8268, (9.110000  3.230000) (0.580000  1.290000) (8.650000  9.980000) (0.160000  4.620000) , 0.012704 seconds
input/max_div_15_2.txt, 15, 2, 4, 10, 3, true, 49.8268, (9.110000  3.230000) (0.580000  1.290000) (8.650000  9.980000) (0.160000  4.620000) , 0.015997 seconds
input/max_div_15_2.txt, 15, 2, 4, 20, 2, false, 49.8268, (9.110000  3.230000) (0.160000  4.620000) (8.650000  9.980000) (0.580000  1.290000) , 0.026567 seconds
input/max_div_15_2.txt, 15, 2, 4, 20, 2, true, 49.8268, (9.110000  3.230000) (0.160000  4.620000) (8.650000  9.980000) (0.580000  1.290000) , 0.027792 seconds
input/max_div_15_2.txt, 15, 2, 4, 20, 3, false, 49.8268, (9.110000  3.230000) (0.580000  1.290000) (8.650000  9.980000) (0.160000  4.620000) , 0.023965 seconds
input/max_div_15_2.txt, 15, 2, 4, 20, 3, true, 49.8268, (9.110000  3.230000) (0.580000  1.290000) (8.650000  9.980000) (0.160000  4.620000) , 0.027736 seconds
input/max_div_15_2.txt, 15, 2, 5, 10, 2, false, 79.1295, (9.960000  8.170000) (0.160000  4.620000) (8.650000  9.980000) (0.580000  1.290000) (9.110000  3.230000) , 0.019788 seconds
input/max_div_15_2.txt, 15, 2, 5, 10, 2, true, 79.1295, (8.650000  9.980000) (0.580000  1.290000) (9.110000  3.230000) (0.160000  4.620000) (9.960000  8.170000) , 0.028286 seconds
input/max_div_15_2.txt, 15, 2, 5, 10, 3, false, 79.1295, (8.650000  9.980000) (9.110000  3.230000) (9.960000  8.170000) (0.160000  4.620000) (0.580000  1.290000) , 0.016555 seconds
input/max_div_15_2.txt, 15, 2, 5, 10, 3, true, 79.1295, (8.650000  9.980000) (0.580000  1.290000) (9.110000  3.230000) (9.960000  8.170000) (0.160000  4.620000) , 0.036945 seconds
input/max_div_15_2.txt, 15, 2, 5, 20, 2, false, 79.1295, (8.650000  9.980000) (0.580000  1.290000) (9.110000  3.230000) (0.160000  4.620000) (9.960000  8.170000) , 0.036336 seconds
input/max_div_15_2.txt, 15, 2, 5, 20, 2, true, 79.1295, (8.650000  9.980000) (0.580000  1.290000) (9.110000  3.230000) (0.160000  4.620000) (9.960000  8.170000) , 0.049119 seconds
input/max_div_15_2.txt, 15, 2, 5, 20, 3, false, 79.1295, (8.650000  9.980000) (0.580000  1.290000) (9.110000  3.230000) (0.160000  4.620000) (9.960000  8.170000) , 0.040835 seconds
input/max_div_15_2.txt, 15, 2, 5, 20, 3, true, 79.1295, (9.960000  8.170000) (0.160000  4.620000) (0.580000  1.290000) (8.650000  9.980000) (9.110000  3.230000) , 0.037739 seconds
input/max_div_20_2.txt, 20, 2, 2, 10, 2, false, 8.51033, (0.630000  5.960000) (8.670000  3.170000) , 0.002912 seconds
input/max_div_20_2.txt, 20, 2, 2, 10, 2, true, 8.51033, (0.630000  5.960000) (8.670000  3.170000) , 0.004422 seconds
input/max_div_20_2.txt, 20, 2, 2, 10, 3, false, 8.51033, (0.630000  5.960000) (8.670000  3.170000) , 0.003834 seconds
input/max_div_20_2.txt, 20, 2, 2, 10, 3, true, 8.51033, (8.670000  3.170000) (0.630000  5.960000) , 0.003376 seconds
input/max_div_20_2.txt, 20, 2, 2, 20, 2, false, 8.51033, (0.630000  5.960000) (8.670000  3.170000) , 0.006144 seconds
input/max_div_20_2.txt, 20, 2, 2, 20, 2, true, 8.51033, (0.630000  5.960000) (8.670000  3.170000) , 0.005269 seconds
input/max_div_20_2.txt, 20, 2, 2, 20, 3, false, 8.51033, (8.670000  3.170000) (0.630000  5.960000) , 0.006027 seconds
input/max_div_20_2.txt, 20, 2, 2, 20, 3, true, 8.51033, (8.670000  3.170000) (0.630000  5.960000) , 0.006451 seconds
input/max_div_20_2.txt, 20, 2, 3, 10, 2, false, 21.9961, (8.670000  3.170000) (8.570000  8.360000) (0.630000  5.960000) , 0.005468 seconds
input/max_div_20_2.txt, 20, 2, 3, 10, 2, true, 21.9961, (8.670000  3.170000) (8.570000  8.360000) (0.630000  5.960000) , 0.008338 seconds
input/max_div_20_2.txt, 20, 2, 3, 10, 3, false, 21.9961, (8.670000  3.170000) (0.630000  5.960000) (8.570000  8.360000) , 0.006964 seconds
input/max_div_20_2.txt, 20, 2, 3, 10, 3, true, 21.9961, (8.670000  3.170000) (0.630000  5.960000) (8.570000  8.360000) , 0.008903 seconds
input/max_div_20_2.txt, 20, 2, 3, 20, 2, false, 21.9961, (8.670000  3.170000) (8.570000  8.360000) (0.630000  5.960000) , 0.011490 seconds
input/max_div_20_2.txt, 20, 2, 3, 20, 2, true, 21.9961, (8.670000  3.170000) (8.570000  8.360000) (0.630000  5.960000) , 0.019428 seconds
input/max_div_20_2.txt, 20, 2, 3, 20, 3, false, 21.9961, (8.670000  3.170000) (8.570000  8.360000) (0.630000  5.960000) , 0.013942 seconds
input/max_div_20_2.txt, 20, 2, 3, 20, 3, true, 21.9961, (8.670000  3.170000) (8.570000  8.360000) (0.630000  5.960000) , 0.015195 seconds
input/max_div_20_2.txt, 20, 2, 4, 10, 2, false, 40.0023, (1.160000  4.470000) (8.670000  3.170000) (8.570000  8.360000) (3.470000  9.430000) , 0.012807 seconds
input/max_div_20_2.txt, 20, 2, 4, 10, 2, true, 40.0023, (1.160000  4.470000) (8.670000  3.170000) (8.570000  8.360000) (3.470000  9.430000) , 0.016564 seconds
input/max_div_20_2.txt, 20, 2, 4, 10, 3, false, 40.0023, (1.160000  4.470000) (8.670000  3.170000) (8.570000  8.360000) (3.470000  9.430000) , 0.015725 seconds
input/max_div_20_2.txt, 20, 2, 4, 10, 3, true, 40.0023, (8.670000  3.170000) (1.160000  4.470000) (8.570000  8.360000) (3.470000  9.430000) , 0.022325 seconds
input/max_div_20_2.txt, 20, 2, 4, 20, 2, false, 40.0023, (1.160000  4.470000) (8.670000  3.170000) (8.570000  8.360000) (3.470000  9.430000) , 0.032222 seconds
input/max_div_20_2.txt, 20, 2, 4, 20, 2, true, 40.0023, (1.160000  4.470000) (8.670000  3.170000) (8.570000  8.360000) (3.470000  9.430000) , 0.043067 seconds
input/max_div_20_2.txt, 20, 2, 4, 20, 3, false, 40.0023, (1.160000  4.470000) (8.670000  3.170000) (8.570000  8.360000) (3.470000  9.430000) , 0.029534 seconds
input/max_div_20_2.txt, 20, 2, 4, 20, 3, true, 40.0023, (1.160000  4.470000) (8.670000  3.170000) (8.570000  8.360000) (3.470000  9.430000) , 0.033661 seconds
input/max_div_20_2.txt, 20, 2, 5, 10, 2, false, 63.6517, (1.970000  3.500000) (3.470000  9.430000) (0.630000  5.960000) (8.570000  8.360000) (8.670000  3.170000) , 0.026641 seconds
input/max_div_20_2.txt, 20, 2, 5, 10, 2, true, 63.6517, (0.630000  5.960000) (8.570000  8.360000) (3.470000  9.430000) (1.970000  3.500000) (8.670000  3.170000) , 0.037887 seconds
input/max_div_20_2.txt, 20, 2, 5, 10, 3, false, 63.6517, (1.970000  3.500000) (8.570000  8.360000) (8.670000  3.170000) (3.470000  9.430000) (0.630000  5.960000) , 0.031326 seconds
input/max_div_20_2.txt, 20, 2, 5, 10, 3, true, 63.6517, (1.970000  3.500000) (8.570000  8.360000) (0.630000  5.960000) (3.470000  9.430000) (8.670000  3.170000) , 0.045891 seconds
input/max_div_20_2.txt, 20, 2, 5, 20, 2, false, 63.6517, (1.970000  3.500000) (8.570000  8.360000) (8.670000  3.170000) (3.470000  9.430000) (0.630000  5.960000) , 0.045233 seconds
input/max_div_20_2.txt, 20, 2, 5, 20, 2, true, 63.6517, (0.630000  5.960000) (8.570000  8.360000) (3.470000  9.430000) (1.970000  3.500000) (8.670000  3.170000) , 0.058683 seconds
input/max_div_20_2.txt, 20, 2, 5, 20, 3, false, 63.6517, (0.630000  5.960000) (8.570000  8.360000) (3.470000  9.430000) (1.970000  3.500000) (8.670000  3.170000) , 0.057799 seconds
input/max_div_20_2.txt, 20, 2, 5, 20, 3, true, 63.6517, (0.630000  5.960000) (8.670000  3.170000) (3.470000  9.430000) (1.970000  3.500000) (8.570000  8.360000) , 0.056801 seconds
input/max_div_30_2.txt, 30, 2, 2, 10, 2, false, 11.6571, (2.070000  0.270000) (9.840000  8.960000) , 0.004153 seconds
input/max_div_30_2.txt, 30, 2, 2, 10, 2, true, 11.6571, (9.840000  8.960000) (2.070000  0.270000) , 0.003454 seconds
input/max_div_30_2.txt, 30, 2, 2, 10, 3, false, 11.6571, (2.070000  0.270000) (9.840000  8.960000) , 0.005737 seconds
input/max_div_30_2.txt, 30, 2, 2, 10, 3, true, 11.6571, (2.070000  0.270000) (9.840000  8.960000) , 0.006165 seconds
input/max_div_30_2.txt, 30, 2, 2, 20, 2, false, 11.6571, (2.070000  0.270000) (9.840000  8.960000) , 0.008854 seconds
input/max_div_30_2.txt, 30, 2, 2, 20, 2, true, 11.6571, (9.840000  8.960000) (2.070000  0.270000) , 0.007832 seconds
input/max_div_30_2.txt, 30, 2, 2, 20, 3, false, 11.6571, (9.840000  8.960000) (2.070000  0.270000) , 0.008505 seconds
input/max_div_30_2.txt, 30, 2, 2, 20, 3, true, 11.6571, (9.840000  8.960000) (2.070000  0.270000) , 0.008479 seconds
input/max_div_30_2.txt, 30, 2, 3, 10, 2, false, 28.9443, (2.070000  0.270000) (9.840000  8.960000) (1.910000  9.600000) , 0.008672 seconds
input/max_div_30_2.txt, 30, 2, 3, 10, 2, true, 28.9443, (2.070000  0.270000) (9.840000  8.960000) (1.910000  9.600000) , 0.012410 seconds
input/max_div_30_2.txt, 30, 2, 3, 10, 3, false, 28.9443, (2.070000  0.270000) (9.840000  8.960000) (1.910000  9.600000) , 0.010984 seconds
input/max_div_30_2.txt, 30, 2, 3, 10, 3, true, 28.9443, (2.070000  0.270000) (1.910000  9.600000) (9.840000  8.960000) , 0.012672 seconds
input/max_div_30_2.txt, 30, 2, 3, 20, 2, false, 28.9443, (2.070000  0.270000) (9.840000  8.960000) (1.910000  9.600000) , 0.017519 seconds
input/max_div_30_2.txt, 30, 2, 3, 20, 2, true, 28.9443, (2.070000  0.270000) (9.840000  8.960000) (1.910000  9.600000) , 0.030454 seconds
input/max_div_30_2.txt, 30, 2, 3, 20, 3, false, 28.9443, (2.070000  0.270000) (1.910000  9.600000) (9.840000  8.960000) , 0.026801 seconds
input/max_div_30_2.txt, 30, 2, 3, 20, 3, true, 28.9443, (2.070000  0.270000) (1.910000  9.600000) (9.840000  8.960000) , 0.037162 seconds
input/max_div_30_2.txt, 30, 2, 4, 10, 2, false, 52.7712, (2.070000  0.270000) (9.840000  8.960000) (1.910000  9.600000) (8.000000  1.530000) , 0.021870 seconds
input/max_div_30_2.txt, 30, 2, 4, 10, 2, true, 52.7712, (2.070000  0.270000) (9.840000  8.960000) (1.910000  9.600000) (8.000000  1.530000) , 0.026360 seconds
input/max_div_30_2.txt, 30, 2, 4, 10, 3, false, 52.7712, (2.070000  0.270000) (9.840000  8.960000) (1.910000  9.600000) (8.000000  1.530000) , 0.026927 seconds
input/max_div_30_2.txt, 30, 2, 4, 10, 3, true, 52.7712, (1.910000  9.600000) (2.070000  0.270000) (9.840000  8.960000) (8.000000  1.530000) , 0.033134 seconds
input/max_div_30_2.txt, 30, 2, 4, 20, 2, false, 52.7712, (2.070000  0.270000) (9.840000  8.960000) (1.910000  9.600000) (8.000000  1.530000) , 0.045710 seconds
input/max_div_30_2.txt, 30, 2, 4, 20, 2, true, 52.7712, (9.840000  8.960000) (2.070000  0.270000) (1.910000  9.600000) (8.000000  1.530000) , 0.049172 seconds
input/max_div_30_2.txt, 30, 2, 4, 20, 3, false, 52.7712, (2.070000  0.270000) (9.840000  8.960000) (1.910000  9.600000) (8.000000  1.530000) , 0.060288 seconds
input/max_div_30_2.txt, 30, 2, 4, 20, 3, true, 52.7712, (9.840000  8.960000) (2.070000  0.270000) (1.910000  9.600000) (8.000000  1.530000) , 0.060124 seconds
input/max_div_30_2.txt, 30, 2, 5, 10, 2, false, 80.9102, (9.840000  8.960000) (0.650000  3.260000) (1.910000  9.600000) (8.000000  1.530000) (2.070000  0.270000) , 0.046256 seconds
input/max_div_30_2.txt, 30, 2, 5, 10, 2, true, 80.9102, (9.840000  8.960000) (0.650000  3.260000) (2.070000  0.270000) (1.910000  9.600000) (8.000000  1.530000) , 0.054424 seconds
input/max_div_30_2.txt, 30, 2, 5, 10, 3, false, 80.9102, (1.910000  9.600000) (2.070000  0.270000) (0.650000  3.260000) (8.000000  1.530000) (9.840000  8.960000) , 0.046090 seconds
input/max_div_30_2.txt, 30, 2, 5, 10, 3, true, 80.9102, (2.070000  0.270000) (9.840000  8.960000) (1.910000  9.600000) (0.650000  3.260000) (8.000000  1.530000) , 0.068638 seconds
input/max_div_30_2.txt, 30, 2, 5, 20, 2, false, 80.9102, (9.840000  8.960000) (0.650000  3.260000) (2.070000  0.270000) (1.910000  9.600000) (8.000000  1.530000) , 0.085441 seconds
input/max_div_30_2.txt, 30, 2, 5, 20, 2, true, 80.9102, (2.070000  0.270000) (9.840000  8.960000) (0.650000  3.260000) (8.000000  1.530000) (1.910000  9.600000) , 0.105748 seconds
input/max_div_30_2.txt, 30, 2, 5, 20, 3, false, 80.9102, (1.910000  9.600000) (2.070000  0.270000) (0.650000  3.260000) (8.000000  1.530000) (9.840000  8.960000) , 0.074898 seconds
input/max_div_30_2.txt, 30, 2, 5, 20, 3, true, 80.9102, (2.070000  0.270000) (9.840000  8.960000) (8.000000  1.530000) (0.650000  3.260000) (1.910000  9.600000) , 0.082168 seconds
input/max_div_15_3.txt, 15, 3, 2, 10, 2, false, 13.2732, (9.880000  9.880000  6.260000) (0.300000  0.920000  4.230000) , 0.001989 seconds
input/max_div_15_3.txt, 15, 3, 2, 10, 2, true, 13.2732, (9.880000  9.880000  6.260000) (0.300000  0.920000  4.230000) , 0.002176 seconds
input/max_div_15_3.txt, 15, 3, 2, 10, 3, false, 13.2732, (9.880000  9.880000  6.260000) (0.300000  0.920000  4.230000) , 0.002639 seconds
input/max_div_15_3.txt, 15, 3, 2, 10, 3, true, 13.2732, (9.880000  9.880000  6.260000) (0.300000  0.920000  4.230000) , 0.002983 seconds
input/max_div_15_3.txt, 15, 3, 2, 20, 2, false, 13.2732, (0.300000  0.920000  4.230000) (9.880000  9.880000  6.260000) , 0.004607 seconds
input/max_div_15_3.txt, 15, 3, 2, 20, 2, true, 13.2732, (0.300000  0.920000  4.230000) (9.880000  9.880000  6.260000) , 0.005100 seconds
input/max_div_15_3.txt, 15, 3, 2, 20, 3, false, 13.2732, (0.300000  0.920000  4.230000) (9.880000  9.880000  6.260000) , 0.005363 seconds
input/max_div_15_3.txt, 15, 3, 2, 20, 3, true, 13.2732, (9.880000  9.880000  6.260000) (0.300000  0.920000  4.230000) , 0.004982 seconds
input/max_div_15_3.txt, 15, 3, 3, 10, 2, false, 31.8685, (1.710000  1.950000  9.220000) (5.170000  1.390000  0.910000) (9.880000  9.880000  6.260000) , 0.005517 seconds
input/max_div_15_3.txt, 15, 3, 3, 10, 2, true, 31.8685, (9.880000  9.880000  6.260000) (1.710000  1.950000  9.220000) (5.170000  1.390000  0.910000) , 0.005514 seconds
input/max_div_15_3.txt, 15, 3, 3, 10, 3, false, 31.8685, (9.880000  9.880000  6.260000) (5.170000  1.390000  0.910000) (1.710000  1.950000  9.220000) , 0.005797 seconds
